IP,Name,Test_Num,Record,Record_Type,Duration,TTL,Answer_Count,Response
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,101.47690773010254,150683,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.8640251159668,136832,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,65.68503379821777,128278,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,77.58092880249023,149809,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,61.61093711853027,139529,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,71.1669921875,200847,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,77.18706130981445,237061,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,77.87489891052246,136833,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.8589973449707,149808,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,73.4720230102539,199592,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,67.28696823120117,172721,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.26420593261719,149958,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,89.61987495422363,151085,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.86998558044434,150612,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,90.08097648620605,128427,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.53307914733887,150229,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,64.11504745483398,136829,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,83.13202857971191,137461,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,67.89803504943848,172660,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,101.17101669311523,136829,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,64.90778923034668,138934,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.89404487609863,200772,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.4709243774414,199758,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,70.55783271789551,139267,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,83.95695686340332,172719,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.25992393493652,137459,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,77.5909423828125,237057,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.78015327453613,128326,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,84.50484275817871,172352,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,87.82696723937988,137457,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,94.35820579528809,128244,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,61.55705451965332,139763,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,86.00902557373047,128569,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,79.76102828979492,199960,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,94.98000144958496,128569,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,86.78889274597168,150946,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,80.7349681854248,237086,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.2031078338623,90039,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.57295799255371,90045,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,63.45391273498535,136826,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,85.83688735961914,151080,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,95.61920166015625,139070,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,67.78407096862793,149963,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,86.4570140838623,171983,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.3700008392334,237054,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,82.78894424438477,127617,1,198.41.0.4,
